pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
HIP 14810 c,HIP 14810,0,1,3,Radial Velocity,2006,147.73,0.545,0.031,-0.031,0,,,406.8224,1.28,,G5 V,1,0.99,47.809275,21.0971302,50.48
HIP 14810 c,HIP 14810,1,1,3,Radial Velocity,2006,147.747,0.549,0.034,-0.034,0,,,416.3573,1.31,,G5,1.07,1.01,47.809275,21.0971302,50.48
HIP 14810 d,HIP 14810,0,1,3,Radial Velocity,2009,952,1.89,0.11,-0.11,0,,,181.1631,0.57,,G5 V,1,0.99,47.809275,21.0971302,50.48
HIP 14810 d,HIP 14810,1,1,3,Radial Velocity,2009,981.8,1.94,0.13,-0.13,0,,,187.5197,0.59,,G5,1.07,1.01,47.809275,21.0971302,50.48
HIP 19976 b,HIP 19976,1,1,1,Radial Velocity,2022,50.65905,0.234,0.009,-0.01,0,,,21.61233,0.068,,,,0.67,64.2597881,-40.7985198,40.2707
HIP 21152 b,HIP 21152,0,2,1,Imaging,2022,23000,17.5,7.2,-3.8,0,,,8835.62971,27.8,1250,F5 V,,1.3,68.0205209,5.4100745,43.4073
HIP 21152 b,HIP 21152,1,2,1,Imaging,2022,22000,17,5,-4,0,,,7627.88177,24,1300,F5 V,,1.4,68.0205209,5.4100745,43.4073
HIP 29442 c,HD 42813,1,1,3,Radial Velocity,2023,3.5379559,0.04518,0.00082,-0.00082,0,1.551,0.138,4.5,0.01416,1123,,0.98,0.9,93.0578446,-14.6493167,68.192
HIP 29442 c,HD 42813,0,1,3,Radial Velocity,2023,3.53796,0.0436,0.0006,-0.0007,0,1.58,0.141,4.5,0.01416,1217,,0.98,0.89,93.0578446,-14.6493167,68.192
HIP 29442 d,HD 42813,0,1,3,Radial Velocity,2023,6.42975,0.0649,0.0009,-0.001,0,1.37,0.122,5.1,0.01605,998,,0.98,0.89,93.0578446,-14.6493167,68.192
HIP 29442 d,HD 42813,1,1,3,Radial Velocity,2023,6.429575,0.0673,0.0012,-0.0012,0,1.538,0.137,5.14,0.01617,920,,0.98,0.9,93.0578446,-14.6493167,68.192
HIP 34222 b,HIP 34222,1,1,1,Radial Velocity,2021,159.986,0.492,,,0,,,263.79758,0.83,,K7 V,,0.62,106.4257786,27.4704132,22.8386
HIP 35173 b,HIP 35173,1,1,1,Radial Velocity,2019,41.516,0.217,0.004,-0.004,0,,,12.7,0.03996,,K2 V,,0.79,109.0449329,-3.6661273,33.1562
HIP 35965 b,HIP 35965,1,1,1,Radial Velocity,2022,26125.56497,15.898,5.059,-4.506,0,,,2589.98369,8.149,,,,0.78,111.2025182,-51.3257507,50.1677
